"id","name","country_ids/id"
"base.outside_europe","Outside of Europe","base.af,base.ax,base.al,base.dz,base.as,base.ad,base.ao,base.ai,base.aq,base.ag,base.ar,base.am,base.aw,base.au,base.az,base.bs,base.bh,base.bd,base.bb,base.bz,base.bj,base.bm,base.bt,base.bo,base.bq,base.ba,base.bw,base.bv,base.br,base.io,base.vg,base.bn,base.bf,base.bi,base.kh,base.ky,base.cl,base.ck,base.cr,base.cw,base.ci,base.cd,base.dj,base.dm,base.do,base.ec,base.eg,base.sv,base.er,base.za,base.gs,base.kr,base.ss,base.et,base.fk,base.fj,base.ph,base.gf,base.pf,base.fo,base.ga,base.gm,base.ge,base.gh,base.gi,base.gd,base.gl,base.gp,base.gu,base.gt,base.gg,base.gn,base.gw,base.gy,base.ht,base.hm,base.hn,base.hk,base.id,base.in,base.iq,base.ir,base.is,base.il,base.jm,base.jp,base.ye,base.je,base.jo,base.cx,base.cm,base.ca,base.cv,base.kz,base.ke,base.cf,base.cn,base.ki,base.co,base.km,base.cg,base.cc,base.xk,base.cu,base.kw,base.kg,base.la,base.ls,base.lb,base.lr,base.ly,base.li,base.eh,base.mo,base.mg,base.mk,base.mw,base.mv,base.my,base.ml,base.im,base.ma,base.mh,base.mq,base.mr,base.mu,base.yt,base.mx,base.fm,base.md,base.mc,base.mn,base.me,base.ms,base.mz,base.mm,base.na,base.nr,base.np,base.nc,base.ni,base.ne,base.ng,base.nu,base.nf,base.no,base.om,base.pk,base.pw,base.pa,base.pg,base.py,base.pe,base.pn,base.kp,base.mp,base.pr,base.gq,base.qa,base.tf,base.rw,base.re,base.bl,base.sh,base.kn,base.lc,base.vc,base.mf,base.pm,base.sb,base.zm,base.ws,base.sm,base.sa,base.sn,base.rs,base.sc,base.sl,base.sg,base.sx,base.so,base.lk,base.ps,base.sd,base.sr,base.sj,base.ch,base.sz,base.sy,base.st,base.tj,base.tw,base.tz,base.th,base.tl,base.tg,base.tk,base.to,base.tt,base.tn,base.tr,base.tm,base.tc,base.tv,base.td,base.ug,base.ua,base.uy,base.nz,base.uz,base.by,base.vu,base.va,base.ve,base.ru,base.vn,base.wf,base.ae,base.us,base.vi,base.um,base.zw"
"base.nordic_countries","Nordic Countries","base.is,base.no,base.se,base.fi,base.dk,base.ax"
